井号,渗透性类型,岩性,井型,造斜点深度(m),生产时间(h),日产液(t),日产油(t),日产水(t),日产气(m3),含水率(%),油压(Mpa),套压(Mpa),动液面(m),泵径(mm),泵深(m),冲程(m),冲次(n/min),泵效(%),抽油机机型,额定载荷(kN),悬点载荷最大值(kN),悬点载荷最小值(kN),电机型号,电机额定功率(kW),平衡度,日耗电量(kW·h),输入功率(kW),地面效率(%),井下效率(%),系统效率(%),泵况分析结果,沉没度(m),抽油机负载率(%),电机功率利用率(%),百米吨液耗电(kW.h),K1,K2,节能限定值,节能评价值,对标结果
Test_122,特低渗透,砂岩,定向井,950,24,24.08,6.88,17.2,0,71.4285714286,0.4,0,997,38,1201.5,4.8,4,80.55,CYJ12-4.8-73HB,120,59.8,29.2,YCCH280-8,30,1.32,215.09,8.96,66.93,45.71,30.59,工作正常,204.5,49.83,29.87,0.9,1.6,1,11.25,18.13,优良
Test_123,特低渗透,砂岩,水平井,400,24,55.56,0.48,55.08,0,99.1360691145,0.4,0,689,56,902.08,4,4.5,92.8,YCYS12-5-73HB,120,53.8,22.2,YCCH280-8,30,1,191.85,7.99,74.86,77.84,58.27,工作正常,213.08,44.83,26.63,0.5,1.6,1,11.25,18.13,优良
Test_124,特低渗透,砂岩,水平井,425,24,55.86,2.59,53.27,0,95.3634085213,0.5,0,755,56,1000.91,5,4,85.08,YCYS12-5-73HB,120,62.3,28.2,YCCH280-8,30,1.28,197.63,8.23,72.91,84.51,61.62,工作正常,245.91,51.92,27.43,0.47,1.6,1,11.25,18.13,优良
Test_125,特低渗透,砂岩,水平井,275,24,5.82,0.43,5.39,0,92.6116838488,0.5,0,1194,38,1195.21,4,3,35.32,CYJS12-5-73HB,120,60.7,25.3,YCCH280-8,30,0.75,153.34,6.39,66.19,19.22,12.72,工作正常,1.21,50.58,21.3,2.21,1.6,1,11.25,18.13,达标
Test_126,特低渗透,灰岩,直井,,24,106.02,1.39,104.63,0,98.6889266176,0.4,0,250,70,504.43,5,4,102.31,YCYJ12-5-48HB,120,29.2,17.7,YCCH280-8,30,3.77,95.04,3.96,31.01,284.32,88.16,工作正常,254.43,24.33,13.2,0.36,1.6,1,11.25,18.13,优良
Test_127,特低渗透,砂岩,直井,,24,26.11,0.68,25.43,0,97.3956338568,0.5,0,1656,44,1801.07,4.8,4,83.34,CYJ14-4.8-73HB,140,68.6,40.2,YCCH280-8,30,0.47,310.61,12.94,30.58,127.23,38.9,工作正常,145.07,49,43.13,0.72,1.6,1.05,10.71,17.26,优良
Test_128,特低渗透,灰岩,直井,,24,104.28,1.38,102.9,0,98.6766398159,0.45,0,400,70,602.74,5,5,77.88,CYJS12-5-73HB,120,27.6,15.2,YCCH280-8,30,2.67,202.93,8.46,45.41,137.13,62.28,工作正常,202.74,23,28.2,0.49,1.6,1,11.25,18.13,优良
Test_129,特低渗透,灰岩,直井,,24,45.08,3.04,42.04,0,93.256433008,0.3,0,700,56,1004.74,4.8,4,67.81,CYJ14-4.8-73HB,140,55.8,29.8,YCCH280-6,45,1.14,263.73,10.99,43.4,77.64,33.7,工作正常,304.74,39.86,24.42,0.84,1.6,1,11.25,18.13,优良
Test_130,特低渗透,灰岩,直井,,24,9.59,4.97,4.62,0,48.1751824818,0.5,0,643,38,2301.07,5,3,41.39,CYJ12-4.8-73HB,120,57,33.2,YCCH280-8,30,0.92,186.72,7.78,41.26,22.08,9.11,泵漏失,1658.07,47.5,25.93,3.03,1.6,1.05,10.71,17.26,不达标
Test_131,特低渗透,砂岩,直井,,24,21.7,2.83,18.87,0,86.9585253456,0.4,0,960,38,1801.73,5,4,67.77,CYJS12-5-73HB,120,82.7,58.3,YCCH280-8,30,0.83,242.56,10.11,43.46,55.23,24,工作正常,841.73,68.92,33.7,1.16,1.6,1.05,10.71,17.26,优良
Test_132,特低渗透,灰岩,直井,,24,55.06,4.36,50.7,0,92.0813657828,0.5,0,418,56,1403.41,4.8,4,84.54,CYJ14-4.8-73HB,140,62.7,36,YCCH280-8,30,1.52,236.59,9.86,50.77,57.86,29.38,工作正常,985.41,44.79,32.87,1.03,1.6,1,11.25,18.13,优良
Test_133,特低渗透,灰岩,直井,,24,26.66,0.54,26.12,0,97.9744936234,0.4,0,1100,56,1450.28,4.8,4.5,40.09,CYJ14-4.8-73HB,140,78.45,39.88,YCCH280-8,30,0.6,267.03,11.13,70.77,43.69,30.92,不知,350.28,56.04,37.1,0.91,1.6,1,11.25,18.13,优良
Test_134,特低渗透,灰岩,直井,,24,116.08,1.6,114.48,0,98.6216402481,0.5,0,95,83,705.54,5,4,77.7,YCYJ12-5-48HB,120,45.4,28.1,YCCH250-8,30,3.81,52.61,2.19,66.85,130.98,87.57,工作正常,610.54,37.83,7.3,0.48,1.6,1,11.25,18.13,优良
Test_135,低渗透,灰岩,直井,,24,65.34,2.6,62.74,0,96.0208142026,0.4,0,800,70,1076.38,5,3.5,74.96,YCYJ10-5-48HB,100,64.5,21.5,YCY250M-8,30,1.9,285.47,11.89,66.36,78.54,52.12,工作正常,276.38,64.5,39.63,0.55,1.4,1,12.86,20.71,优良
Test_136,特低渗透,灰岩,水平井,575,24,61.11,3.67,57.44,0,93.9944362625,0.5,0,300,56,1004.66,5,4,88.48,CYJY14-4.8-73HB,140,34.5,28,YCCH280-8,30,2.33,90.28,3.76,25.23,254.75,64.27,工作正常,704.66,24.64,12.53,0.49,1.6,1,11.25,18.13,优良
Test_137,特低渗透,砂岩,直井,,24,23.51,2.82,20.69,0,88.005104211,0.5,0,1307,44,1805,5,4,63.7,YCYS12-5-73HB,120,78.6,44.1,YCCH280-8,30,0.63,266.67,11.11,67.48,47.34,31.94,工作正常,498,65.5,37.03,0.87,1.6,1.05,10.71,17.26,优良
Test_138,特低渗透,砂岩,直井,,24,25.47,8,17.47,0,68.5904986258,0.45,0,1500,44,1798.87,4.8,4,63.05,CYJ14-4.8-73HB,140,86.6,36.6,YCCH280-8,30,0.97,107.87,4.49,72.16,130.69,94.31,供液不足,298.87,61.86,14.97,0.28,1.6,1.05,10.71,17.26,优良
Test_139,特低渗透,砂岩,直井,,24,12.33,6.55,5.78,0,46.8775344688,0.4,0,1846,38,1900.05,5,4.5,38.71,YCYJ12-5-73HB,120,75.9,35.4,YCCH280-8,30,0.84,322.76,13.45,72.19,25.54,18.44,供液不足,54.05,63.25,44.83,1.42,1.6,1.05,10.71,17.26,优良
Test_140,特低渗透,灰岩,直井,,24,60.2,2.48,57.72,0,95.8803986711,0.45,0,500,56,1001.84,4.8,4,88.63,CYJ14-4.8-73HB,140,55.9,31.4,YCCH280-8,30,1.61,106.31,4.43,57.57,145.36,83.68,工作正常,501.84,39.93,14.77,0.35,1.6,1,11.25,18.13,优良
Test_141,中渗透,砂岩,直井,,24,16.91,0,16.91,0,100,0.35,0,494,44,1799.04,3,4,64.07,CYJS12-5-73HB,120,59.92,49.46,YCCH280-8,30,5.21,65.34,2.72,50.34,74.14,37.32,不知,1305.04,49.93,9.07,0.78,1,1.05,17.14,27.62,优良
Test_142,特低渗透,灰岩,直井,,24,58.2,3.13,55.07,0,94.6219931271,0.4,0,436,56,998.9,4.8,4,90.31,CYJ14-4.8-73HB,140,49.3,24,YCY280S-6,45,1.12,228.6,9.53,64.4,50.9,32.78,工作正常,562.9,35.21,21.18,0.9,1.6,1,11.25,18.13,优良
Test_143,特低渗透,灰岩,直井,,24,82.89,0.88,82.01,0,98.9383520328,0.3,0,500,83,793.67,4.8,4,54.42,CYJ14-4.8-73HB,140,39.4,21.2,YCCH280-8,30,2.33,176.11,7.34,42.62,159.31,67.89,工作正常,293.67,28.14,24.47,0.42,1.6,1,11.25,18.13,优良
Test_144,特低渗透,砂岩,直井,,24,4.8,2.89,1.91,0,39.7916666667,0.45,0,1892,38,1902.94,3,3,33.69,CYJS12-5-73HB,120,58.8,21.5,YCCH280-8,30,1.95,141.26,5.89,50.56,32.13,16.25,供液不足,10.94,49,19.63,1.56,1.6,1.05,10.71,17.26,达标
Test_145,特低渗透,灰岩,直井,,24,80.54,4.54,76,0,94.3630494164,0.35,0,550,70,796.69,5,4,75.14,CYJS12-5-73HB,120,54.7,22.1,YCCH280-8,30,1.38,240.77,10.03,64.28,82.26,52.88,工作正常,246.69,45.58,33.43,0.54,1.6,1,11.25,18.13,优良
Test_146,低渗透,砂岩,直井,,24,1.45,0.19,1.26,0,86.8965517241,0.5,0,2290,38,2300.26,4.8,4,5.53,CYJW12-4.8-73HF,120,87.22,51,YCCH280-8,30,0.84,328.52,13.69,41.48,6.66,2.76,不知,10.26,72.68,45.63,9.89,1.4,1.05,12.24,19.73,不达标
Test_147,低渗透,砂岩,定向井,1675,24,11.82,4.95,6.87,0,58.1218274112,0.35,0,1586,38,2298.28,3,3,92.47,CYJS12-5-73HB,120,79.8,40.7,YCCH280-8,30,2.86,154.96,6.46,57.76,55.22,31.9,工作正常,712.28,66.5,21.53,0.83,1.4,1.05,12.24,19.73,优良
